%Mg,%Al,%Si,%S,%K,%Ca,%Ti,%Mn,%Fe
0.1657,0.4695,0.9601,4.301,0,1.0519,0.2881,32.7597,0.056
0.1803,0.6651,0.9325,3.8403,0.0074,1.4335,0.2662,32.6257,0.0654
0.1451,0.2069,0.0985,2.4058,0,0.5341,0.1397,36.2219,0.0258
0.1546,0.2906,0.3878,3.014,0,0.5186,0.2131,35.6189,0.0292
0.273,0.1527,0.9877,4.0518,0.0323,0.4341,0.3093,32.4655,0.0415
0.2749,0.7666,1.5984,5.2103,0.0666,1.1396,0.4611,30.6674,0.0803
0.2317,0.5853,0.9553,3.907,0.0897,0.5411,0.3248,33.2761,0.0534
0.2257,0,1.2722,4.1758,0.0149,0.534,0.3484,32.228,0.0536
0.2283,0.4059,0.3035,2.4493,0,0.2387,0.1727,35.5729,0.0272
0.1649,1.0413,1.0759,3.7083,0,1.1658,0.2862,32.5576,0.053
0.2245,0.9549,1.2235,3.8244,0.0438,2.0659,0.3477,29.8375,0.0932
0.2483,0.5348,0.2346,2.4389,0,0.4087,0.1712,33.9563,0.0165
0.1178,0.4117,0.2918,2.4409,0,0.4367,0.1704,36.5497,0.0186
0.1118,0.6106,0.1711,2.3934,0,0.2627,0.1388,37.3302,0.018
0.183,0.5079,0.1532,2.5386,0,0.7507,0.1812,34.3164,0.0227
0.1225,0.699,0.1869,2.3718,0,0.2703,0.1404,37.3481,0.0239
0.2262,0.218,0.1527,2.4479,0,0.1942,0.162,35.0959,0.0191
0.2563,0.5228,0.5353,2.7473,0,0.5088,0.1687,33.7752,0.0273
0.1147,0,0.3529,2.599,0,0.3146,0.1603,35.4934,0.0224
0.1982,0.8309,0.403,2.9808,0,0.3656,0.1827,34.4652,0.0313
0.1451,0.2752,0.3718,2.5816,0,0.3201,0.1967,35.441,0.032
0.1739,0.0633,0.4299,2.8549,0,0.4794,0.1984,34.7987,0.0324
