Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite,Modeled Quartz,Modeled Dolomite,Modeled Illite,Modeled Calcite,Modeled Gypsum,Modeled Microclin,Modeled Albite,Modeled Pyrite,Modeled Kaolinite
5651.3330000000005,0.1518,1.1787,1.6364,6.5759,0.6454,0.4663,0.5853,30.4133,0.0703,0.0149,0.8455,52,43,12,75,54,69,28,11,16,12,40,123,11783,0,0,27,0,,,,,,,,,,4.492237,7.9936495,4.7032237,61.96259,6.752112,4.4309487,3.8532434,5.0994654,3.6623435
5651.6669999999995,0.1759,0.0,0.3344,3.0269,0.0159,0.4579,0.2176,33.2462,0.0263,0.0131,0.9217,19,15,4,18,13,17,6,8,9,3,19,9,370,11,29,2,2,,,,,,,,,,2.326668,4.7114544,4.2062016,62.535236,6.2092924,4.8430004,3.910805,4.2671337,4.149596
5652.0,0.2105,0.1037,0.6495,4.324,0.0,0.4321,0.3579,30.6909,0.0474,0.013999999999999999,0.9213,41,20,6,16,12,8,5,7,9,3,25,0,237,15,53,3,0,2.8,6.9,5.7,60.7,6.3,4.1,4.2,6.1,3.1,2.900416,5.2280345,4.2255545,60.044865,6.22215,4.4189,3.65467,4.237253,3.953971
5652.3330000000005,0.1603,0.7465,0.3981,3.0783,0.0,0.6921,0.2229,35.6102,0.0218,0.0138,0.848,43,22,5,19,16,7,4,6,9,3,14,0,313,11,25,1,1,,,,,,,,,,2.678546,6.2311764,4.506819,65.88033,6.6323533,4.977383,4.2114744,5.033028,3.933907
5652.6669999999995,0.1216,0.7241,0.2485,2.2159999999999997,0.0,0.4322,0.1257,37.5925,0.0155,0.0136,0.7512,43,10,8,14,18,13,4,6,8,2,10,6,349,7,9,1,3,,,,,,,,,,2.1914084,5.7906747,4.481125,67.74974,6.6018357,5.285224,4.406409,5.0569515,4.0865054
5653.0,0.2022,0.0,0.3689,2.6534,0.0,0.3484,0.1799,35.2126,0.023,0.0133,0.8721,45,10,8,21,13,9,5,0,8,3,13,0,258,15,24,2,0,,,,,,,,,,2.1456838,4.587467,4.308582,65.30846,6.3677344,5.1274757,4.124766,4.395933,4.3491917
5653.3330000000005,0.1903,1.7858,0.1788,2.0977,0.0124,0.9827,0.1012,37.6266,0.0104,0.0131,1.1217,27,13,5,20,13,10,2,2,7,3,12,0,206,11,18,0,0,1.3,4.9,4.7,64.3,5.9,5.0,3.4,5.2,5.4,2.6830673,7.9076157,4.628143,67.61563,6.800027,5.21373,4.534592,5.84059,3.4030247
5653.6669999999995,0.1881,0.7832,0.511,3.2446,0.0,0.2385,0.2285,35.4483,0.0267,0.0138,0.8045,41,18,9,31,91,2729,11,0,9,3,20,2,230,15,28,2,0,,,,,,,,,,2.5645447,6.054909,4.4644136,65.62843,6.5681806,4.975307,4.1999035,4.9780216,3.9479814
5654.0,0.2134,0.4105,0.0095,2.2629,0.0,0.3442,0.0961,36.1061,0.0159,0.0142,0.8202,35,12,7,19,18,9,5,11,11,3,10,4,247,11,20,1,0,,,,,,,,,,2.0397246,5.1840596,4.2993674,65.29825,6.338119,5.139636,4.214835,4.70098,4.0844483
5654.3330000000005,0.1317,1.0416,1.011,3.7232,0.0,1.0262,0.2609,34.9022,0.0364,0.0136,0.9024,30,21,3,34,21,5,3,10,11,3,22,10,198,14,43,1,4,,,,,,,,,,3.2704906,7.102767,4.6918755,66.354195,6.8980093,4.8331,4.1949553,5.2888303,3.8261998
5654.6669999999995,0.2407,0.4042,0.2094,2.4507,0.0,0.2352,0.1258,34.5335,0.0188,0.0136,0.8834,44,7,5,19,13,4,5,4,8,3,14,0,171,17,20,0,1,1.6,4.9,6.6,64.3,6.6,4.4,3.9,3.3,4.4,2.0869896,5.0901837,4.200216,63.317707,6.192321,4.982379,4.065533,4.5415955,3.9829707
5655.0,0.192,0.7642,0.2224,2.6419,0.0,0.2823,0.1262,36.4431,0.0163,0.0135,0.8445,36,16,6,21,12,8,4,3,7,3,14,0,221,15,18,0,0,,,,,,,,,,2.297665,5.889646,4.429506,66.26906,6.521222,5.130256,4.293499,5.0004067,3.970387
5655.3330000000005,0.1349,0.1147,0.0148,2.1636,0.0,0.2059,0.1101,36.2273,0.0147,0.0137,0.8094,43,13,6,21,14,2,1,7,8,3,7,6,250,10,14,2,0,,,,,,,,,,1.8588749,4.5703135,4.25765,65.60029,6.2878566,5.2280746,4.2111287,4.4849434,4.2853174
5655.6669999999995,0.1708,0.7712,0.1154,2.053,0.0,0.2106,0.1265,37.7122,0.0159,0.0137,0.8392,35,15,8,11,14,6,4,1,7,3,10,0,199,13,18,0,0,,,,,,,,,,2.020568,5.6962204,4.4278197,67.612816,6.5272427,5.356415,4.434777,5.043613,4.0524764
5656.0,0.1782,0.0416,0.0146,1.9708,0.0,0.1654,0.1041,35.9999,0.013999999999999999,0.0133,0.8062,57,10,7,12,13,6,3,0,6,3,13,0,207,9,12,1,0,,,,,,,,,,1.7401533,4.3335958,4.195578,65.090294,6.1997194,5.2343245,4.182177,4.3812933,4.2978215
5656.3330000000005,0.187,0.8011,0.0856,2.0225,0.0,0.23600000000000002,0.1392,38.1895,0.0157,0.0138,0.7852,50,8,7,16,11,8,4,5,9,3,12,1,245,15,18,1,2,1.9,5.8,4.4,67.4,4.9,4.6,4.7,4.0,2.3,2.023686,5.7704997,4.463777,68.21194,6.5784163,5.3920145,4.4795866,5.110156,4.0719852
5656.6669999999995,0.21899999999999997,0.0396,0.0583,2.0077,0.0,0.1619,0.1009,36.0156,0.0121,0.0137,0.7293,31,11,8,14,18,15,5,4,7,3,9,10,250,10,20,3,1,,,,,,,,,,1.7563183,4.3310027,4.2006593,65.064926,6.2037067,5.204878,4.1719003,4.382422,4.305294
5657.0,0.2231,0.0,0.064,2.1706,0.0,0.2935,0.1112,34.5992,0.0128,0.0136,0.7734,36,11,8,28,19,8,3,6,7,3,14,1,234,13,14,1,0,,,,,,,,,,1.8627945,4.3427453,4.1194816,63.083637,6.0810003,5.015887,4.0173182,4.2593412,4.18405
5657.3330000000005,0.1208,0.3053,0.0207,2.2026,0.0,0.2792,0.1273,35.7759,0.0159,0.0137,0.812,29,18,6,15,15,4,5,4,7,2,11,1,207,11,16,1,0,,,,,,,,,,1.9553508,4.925459,4.2454977,64.793724,6.262515,5.132966,4.1746707,4.5793247,4.1175556
5657.6669999999995,0.217,0.6666,0.0733,2.1865,0.0,0.2137,0.1263,35.7656,0.0121,0.0134,0.8011,39,10,7,20,19,10,5,5,9,3,15,1,251,17,17,2,1,1.9,5.1,4.9,66.7,5.6,3.8,3.4,4.7,4.0,2.021596,5.4751086,4.2573624,64.47565,6.269075,5.0828924,4.199332,4.7953424,3.9020627
5658.0,0.192,0.0,0.3201,2.7258,0.0,0.276,0.1686,34.2311,0.019,0.0133,0.8558,41,13,8,21,18,5,5,7,9,2,11,7,263,14,23,0,0,,,,,,,,,,2.124155,4.523439,4.212005,63.597633,6.2198753,4.9829345,4.0079045,4.2929087,4.238223
5658.3330000000005,0.1525,0.6842,0.2304,2.5693,0.0,0.2993,0.1541,35.5273,0.0228,0.0132,0.9461,40,9,6,21,21,8,4,18,13,3,13,0,248,14,22,1,0,,,,,,,,,,2.2537105,5.7012672,4.3436213,65.02637,6.400858,5.0819454,4.2086353,4.852143,3.9289985
5658.6669999999995,0.2076,0.0,0.4107,2.7291,0.0,0.28600000000000003,0.1428,32.3766,0.0162,0.0129,0.956,34,9,5,35,14,11,7,11,11,3,16,4,275,16,25,1,1,,,,,,,,,,2.1341321,4.4389777,4.063826,60.878685,6.000573,4.7853885,3.8219383,4.1086583,4.063393
5659.0,0.1705,0.6304,0.1108,2.6057,0.0,0.4049,0.1416,35.8042,0.0206,0.0134,0.8757,37,14,7,18,12,5,3,4,8,3,15,0,241,17,21,2,0,,,,,,,,,,2.2811465,5.70723,4.366001,65.26001,6.4301805,5.0650907,4.21262,4.8685884,3.9572856
5659.3330000000005,0.1219,1.0744,0.4164,2.8406,0.0,0.3645,0.2104,37.0762,0.0349,0.0142,0.943,42,14,7,20,15,8,3,14,11,3,17,0,277,15,26,1,0,3.0,6.0,5.2,62.6,6.4,4.8,3.2,5.8,3.1,2.5424516,6.565058,4.58429,67.867226,6.7496824,5.2183313,4.421395,5.3056183,3.9057183
5659.6669999999995,0.1657,0.4695,0.9601,4.301,0.0,1.0519,0.2881,32.7597,0.055999999999999994,0.0137,1.1005,63,25,4,26,13,8,6,19,13,4,33,0,272,17,71,3,7,,,,,,,,,,3.3518858,6.310692,4.5744243,64.20889,6.7402015,4.6622744,3.9485385,4.7927766,3.9932528
5660.0,0.1803,0.6651,0.9325,3.8403,0.0074,1.4335,0.2662,32.6257,0.0654,0.0134,1.0942,32,18,4,19,13,13,6,22,14,3,27,0,301,19,34,2,1,,,,,,,,,,3.4350398,6.715201,4.542636,63.447403,6.658385,4.699255,3.967429,4.888412,3.8249738
5662.3330000000005,0.1451,0.2069,0.0985,2.4058,0.0,0.5341,0.1397,36.2219,0.0258,0.0139,0.8684,46,11,6,16,18,7,5,3,8,3,17,0,240,16,24,1,0,,,,,,,,,,2.1493313,5.0219965,4.3661947,66.1739,6.4462385,5.1937833,4.229894,4.634991,4.247935
5662.6669999999995,0.1546,0.2906,0.3878,3.014,0.0,0.5186,0.2131,35.6189,0.0292,0.0138,0.8319,42,18,9,13,17,13,4,2,6,3,14,0,220,21,21,0,0,1.6,5.3,4.6,61.5,6.9,5.4,5.9,3.8,5.2,2.451556,5.3357887,4.4443936,66.10891,6.5551696,5.068656,4.181193,4.7005987,4.2241697
5663.0,0.273,0.1527,0.9877,4.0518,0.0323,0.4341,0.3093,32.4655,0.0415,0.0139,0.8513,44,22,6,23,17,17,5,7,9,3,23,3,402,14,25,2,0,,,,,,,,,,2.8717017,5.2564726,4.380207,63.04836,6.4566927,4.670503,3.8624384,4.406375,4.1626396
5663.3330000000005,0.2749,0.7666,1.5984,5.2103,0.0666,1.1396,0.4611,30.6674,0.0803,0.0139,1.0604,38,29,5,49,20,9,7,24,17,5,41,0,361,14,49,4,5,,,,,,,,,,4.0883746,7.171687,4.6076517,62.229275,6.677071,4.5886087,3.8573494,4.8277383,3.8260696
5663.6669999999995,0.2317,0.5853,0.9553,3.907,0.0897,0.5411,0.3248,33.2761,0.0534,0.0143,0.9562,45,30,7,22,15,17,5,12,11,3,19,0,294,16,22,1,0,,,,,,,,,,2.984705,6.042434,4.477622,64.11168,6.595745,4.7584715,4.0010686,4.770202,3.9705038
5664.0,0.2257,0.0,1.2722,4.1758,0.0149,0.534,0.3484,32.228,0.0536,0.0137,0.9672,35,28,5,24,15,10,6,7,10,4,26,2,210,18,33,2,3,,,,,,,,,,2.9796982,5.0893893,4.4312925,63.695633,6.5452766,4.731853,3.8671384,4.318329,4.3066616
5664.3330000000005,0.2283,0.4059,0.3035,2.4493,0.0,0.2387,0.1727,35.5729,0.0272,0.0136,0.8176,48,13,7,22,15,6,3,4,8,3,13,4,205,13,27,2,0,2.3,5.8,4.5,61.0,5.8,4.2,4.8,7.5,4.1,2.1097445,5.1316843,4.302839,65.104225,6.346648,5.114081,4.1809306,4.6444445,4.111425
5664.6669999999995,0.1649,1.0413,1.0759,3.7083,0.0,1.1658,0.2862,32.5576,0.053,0.0133,1.1341,41,18,5,30,18,22,4,19,14,4,24,0,355,14,23,0,0,,,,,,,,,,3.4175007,7.1421056,4.510608,63.01748,6.584311,4.763615,4.02399,5.043685,3.6333401
5665.0,0.2245,0.9549,1.2235,3.8244,0.0438,2.0659,0.3477,29.8375,0.0932,0.0127,1.4451,23,18,1,54,19,21,9,37,19,4,31,0,626,13,39,5,5,,,,,,,,,,4.0601892,7.610977,4.4237075,59.793274,6.351459,4.78304,3.870657,4.815371,3.4879065
5665.3330000000005,0.2483,0.5348,0.2346,2.4389,0.0,0.4087,0.1712,33.9563,0.0165,0.0134,0.845,47,9,6,15,12,7,3,7,8,3,21,0,267,19,23,0,0,,,,,,,,,,2.1913867,5.3745174,4.178902,62.330124,6.154037,4.867596,4.0066214,4.5937896,3.8318746
5665.6669999999995,0.2019,0.7197,0.5712,2.7647,0.0,1.5318,0.1633,31.929000000000002,0.0183,0.0128,1.1227,37,13,7,25,13,9,4,17,12,3,13,1,232,16,18,0,0,2.0,4.4,4.3,66.1,5.5,3.2,2.9,5.4,6.1,2.9585786,6.4200764,4.2825484,60.709785,6.291445,4.6043253,3.8568327,4.7469373,3.5552337
5666.0,0.1648,0.0,0.1651,2.1817,0.0,0.4553,0.1481,36.3832,0.0157,0.0134,0.764,34,25,6,26,18,9,2,11,10,3,10,0,207,14,20,0,0,,,,,,,,,,1.9726653,4.5299163,4.320167,66.28275,6.383857,5.2469497,4.2228312,4.4697795,4.390693
5666.3330000000005,0.1178,0.4117,0.2918,2.4409,0.0,0.4367,0.1704,36.5497,0.0186,0.0135,0.9137,51,21,6,27,13,14,3,11,10,3,14,4,234,14,19,2,0,,,,,,,,,,2.2092552,5.3256483,4.4261518,66.94031,6.5347238,5.255992,4.303638,4.7870893,4.205571
5666.6669999999995,0.1118,0.6106,0.1711,2.3934,0.0,0.2627,0.1388,37.3302,0.018000000000000002,0.0137,0.8075,41,11,6,23,20,4,3,7,8,3,15,0,228,16,23,2,0,,,,,,,,,,2.1445432,5.5679893,4.450414,67.49048,6.5603213,5.283792,4.3765574,4.9544826,4.1371284
5667.0,0.183,0.5079,0.1532,2.5386,0.0,0.7507,0.1812,34.3164,0.0227,0.0133,0.9063,54,14,7,22,14,13,5,10,10,3,20,0,225,18,21,2,0,,,,,,,,,,2.374174,5.6126075,4.2726336,63.196247,6.29406,4.891309,4.0472093,4.690733,3.8642128
