Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
5651.333,0.1518,1.1787,1.6364,6.5759,0.6454,0.4663,0.5853,30.4133,0.0703,0.0149,0.8455,52,43,12,75,54,69,28,11,16,12,40,123,11783,0,0,27,0,,,,,,,,,
5651.667,0.1759,0,0.3344,3.0269,0.0159,0.4579,0.2176,33.2462,0.0263,0.0131,0.9217,19,15,4,18,13,17,6,8,9,3,19,9,370,11,29,2,2,,,,,,,,,
5652,0.2105,0.1037,0.6495,4.324,0,0.4321,0.3579,30.6909,0.0474,0.014,0.9213,41,20,6,16,12,8,5,7,9,3,25,0,237,15,53,3,0,2.8,6.9,5.7,60.7,6.3,4.1,4.2,6.1,3.1
5652.333,0.1603,0.7465,0.3981,3.0783,0,0.6921,0.2229,35.6102,0.0218,0.0138,0.848,43,22,5,19,16,7,4,6,9,3,14,0,313,11,25,1,1,,,,,,,,,
5652.667,0.1216,0.7241,0.2485,2.216,0,0.4322,0.1257,37.5925,0.0155,0.0136,0.7512,43,10,8,14,18,13,4,6,8,2,10,6,349,7,9,1,3,,,,,,,,,
5653,0.2022,0,0.3689,2.6534,0,0.3484,0.1799,35.2126,0.023,0.0133,0.8721,45,10,8,21,13,9,5,0,8,3,13,0,258,15,24,2,0,,,,,,,,,
5653.333,0.1903,1.7858,0.1788,2.0977,0.0124,0.9827,0.1012,37.6266,0.0104,0.0131,1.1217,27,13,5,20,13,10,2,2,7,3,12,0,206,11,18,0,0,1.3,4.9,4.7,64.3,5.9,5,3.4,5.2,5.4
5653.667,0.1881,0.7832,0.511,3.2446,0,0.2385,0.2285,35.4483,0.0267,0.0138,0.8045,41,18,9,31,91,2729,11,0,9,3,20,2,230,15,28,2,0,,,,,,,,,
5654,0.2134,0.4105,0.0095,2.2629,0,0.3442,0.0961,36.1061,0.0159,0.0142,0.8202,35,12,7,19,18,9,5,11,11,3,10,4,247,11,20,1,0,,,,,,,,,
5654.333,0.1317,1.0416,1.011,3.7232,0,1.0262,0.2609,34.9022,0.0364,0.0136,0.9024,30,21,3,34,21,5,3,10,11,3,22,10,198,14,43,1,4,,,,,,,,,
