%Mg,%Al,%Si,%S,%K,%Ca,%Ti,%Mn,%Fe,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
0.1037,0.6495,4.324,0.4321,0.3579,30.6909,0.0474,0.014,0.9213,2.8,6.9,5.7,60.7,6.3,4.1,4.2,6.1,3.1
1.7858,0.1788,2.0977,0.9827,0.1012,37.6266,0.0104,0.0131,1.1217,1.3,4.9,4.7,64.3,5.9,5,3.4,5.2,5.4
0.4042,0.2094,2.4507,0.2352,0.1258,34.5335,0.0188,0.0136,0.8834,1.6,4.9,6.6,64.3,6.6,4.4,3.9,3.3,4.4
0.8011,0.0856,2.0225,0.236,0.1392,38.1895,0.0157,0.0138,0.7852,1.9,5.8,4.4,67.4,4.9,4.6,4.7,4,2.3
0.6666,0.0733,2.1865,0.2137,0.1263,35.7656,0.0121,0.0134,0.8011,1.9,5.1,4.9,66.7,5.6,3.8,3.4,4.7,4
1.0744,0.4164,2.8406,0.3645,0.2104,37.0762,0.0349,0.0142,0.943,3,6,5.2,62.6,6.4,4.8,3.2,5.8,3.1
0.2906,0.3878,3.014,0.5186,0.2131,35.6189,0.0292,0.0138,0.8319,1.6,5.3,4.6,61.5,6.9,5.4,5.9,3.8,5.2
0.4059,0.3035,2.4493,0.2387,0.1727,35.5729,0.0272,0.0136,0.8176,2.3,5.8,4.5,61,5.8,4.2,4.8,7.5,4.1
0.7197,0.5712,2.7647,1.5318,0.1633,31.929,0.0183,0.0128,1.1227,2,4.4,4.3,66.1,5.5,3.2,2.9,5.4,6.1
0.699,0.1869,2.3718,0.2703,0.1404,37.3481,0.0239,0.0136,0.8172,2.3,5.4,4.7,63.5,6.1,6.2,3.3,5.8,2.7
0.8309,0.403,2.9808,0.3656,0.1827,34.4652,0.0313,0.0131,1.0251,2,4.5,5.6,67.4,5.6,3.3,4.6,4.1,2.9
0.1378,0.4455,2.8449,0.7735,0.2163,33.6738,0.0327,0.0132,1.0764,3,5.1,4.3,66.3,8.2,4.5,3.5,3.4,1.7
0.5956,0.5346,3.1722,0.7063,0.2008,34.4421,0.0316,0.0135,1.0345,2.9,4.8,4.8,63.8,7.1,3.7,3.9,5.2,3.7
1.2102,0.323,3.0131,1.1257,0.1703,33.0029,0.0293,0.0135,0.9983,3.4,3,3.5,63.7,9.3,5.6,4.4,3.9,3.2
0.2365,0.7526,3.6188,0.695,0.2511,32.6026,0.036,0.0136,0.9745,2.5,3.7,3.6,64.9,6,4.4,2.7,6.6,5.5
